bolar|3|[12972, 352, 2, 1]
dries|5|[12972, 676, 14, 7, 2, 1]
kaiak|4|[12972, 726, 29, 4, 1]
amido|4|[12972, 894, 63, 2, 1]
pesto|3|[12972, 151, 11, 1]
quais|4|[12972, 894, 180, 2, 1]
knaur|3|[12972, 352, 73, 1]
pluto|3|[12972, 232, 5, 1]
goops|6|[12972, 1621, 228, 21, 10, 2, 1]
roost|5|[12972, 118, 9, 3, 2, 1]
zonks|9|[12972, 1621, 228, 15, 7, 5, 4, 3, 2, 1]
wongi|3|[12972, 1621, 13, 1]
alder|3|[12972, 218, 59, 1]
exult|3|[12972, 27, 9, 1]
swirl|4|[12972, 394, 23, 2, 1]
civil|4|[12972, 1621, 91, 2, 1]
baggy|6|[12972, 726, 65, 40, 25, 19, 1]
meant|3|[12972, 86, 6, 1]
kulak|6|[12972, 894, 38, 9, 3, 2, 1]
swayl|5|[12972, 894, 21, 7, 3, 1]
graal|6|[12972, 352, 73, 34, 15, 5, 1]
snabs|6|[12972, 894, 180, 17, 3, 2, 1]
faddy|6|[12972, 726, 14, 6, 3, 2, 1]
vrils|4|[12972, 394, 28, 9, 1]
scrum|5|[12972, 249, 82, 4, 2, 1]
aflaj|3|[12972, 894, 38, 1]
douce|5|[12972, 1667, 29, 6, 2, 1]
unzip|4|[12972, 1621, 168, 3, 1]
prize|4|[12972, 676, 4, 3, 1]
unjam|6|[12972, 894, 99, 11, 3, 2, 1]
flyer|6|[12972, 676, 217, 54, 5, 2, 1]
murti|3|[12972, 22, 3, 1]
bunns|4|[12972, 1621, 168, 31, 1]
burfi|4|[12972, 249, 82, 6, 1]
wojus|2|[12972, 1621, 1]
cwtch|3|[12972, 27, 10, 1]
sithe|3|[12972, 54, 2, 1]
tiyns|5|[12972, 343, 31, 12, 6, 1]
plebe|5|[12972, 1667, 270, 10, 5, 1]
sicko|3|[12972, 1621, 101, 1]
leeps|5|[12972, 1667, 270, 17, 13, 1]
shoed|3|[12972, 197, 2, 1]
heath|3|[12972, 5, 4, 1]
gists|8|[12972, 232, 17, 7, 6, 5, 4, 3, 1]
geist|4|[12972, 375, 7, 5, 1]
parev|9|[12972, 66, 33, 20, 18, 8, 4, 3, 2, 1]
bikes|5|[12972, 1667, 86, 40, 29, 1]
tolls|3|[12972, 343, 2, 1]
sobas|6|[12972, 894, 41, 16, 4, 3, 1]
pulks|5|[12972, 1621, 54, 14, 6, 1]
pongo|6|[12972, 1621, 228, 44, 5, 2, 1]
tical|5|[12972, 192, 45, 13, 2, 1]
genal|3|[12972, 429, 36, 1]
cages|5|[12972, 344, 5, 4, 3, 1]
calmy|5|[12972, 726, 13, 4, 2, 1]
sices|9|[12972, 1667, 86, 40, 6, 5, 4, 3, 2, 1]
ulmin|3|[12972, 1621, 54, 1]
tiger|4|[12972, 145, 59, 13, 1]
chute|3|[12972, 14, 4, 1]
warst|4|[12972, 17, 5, 3, 1]
poots|6|[12972, 232, 5, 4, 3, 2, 1]
unary|4|[12972, 352, 43, 23, 1]
carks|7|[12972, 166, 6, 5, 4, 3, 2, 1]
acock|4|[12972, 894, 5, 3, 1]
sneed|4|[12972, 1667, 91, 3, 1]
tamis|6|[12972, 154, 7, 4, 3, 2, 1]
porks|5|[12972, 249, 57, 37, 3, 1]
scrae|3|[12972, 37, 3, 1]
saves|4|[12972, 344, 77, 8, 1]
kiaat|4|[12972, 192, 19, 2, 1]
acids|3|[12972, 894, 46, 1]
unsex|5|[12972, 1667, 181, 6, 2, 1]
puled|5|[12972, 1667, 91, 8, 2, 1]
sexed|4|[12972, 1667, 91, 6, 1]
mould|4|[12972, 1621, 3, 2, 1]
favor|4|[12972, 135, 9, 7, 1]
samek|4|[12972, 344, 4, 3, 1]
saury|5|[12972, 135, 85, 15, 6, 1]
raspy|4|[12972, 135, 85, 2, 1]
syboe|3|[12972, 1667, 152, 1]
jagir|2|[12972, 135, 1]
ethic|2|[12972, 5, 1]
binks|7|[12972, 1621, 160, 14, 7, 4, 3, 1]
mimed|7|[12972, 1667, 43, 28, 22, 11, 6, 1]
welts|9|[12972, 151, 87, 40, 33, 18, 7, 6, 5, 1]
punka|5|[12972, 894, 180, 5, 2, 1]
khadi|5|[12972, 149, 24, 5, 2, 1]
rewax|4|[12972, 218, 27, 7, 1]
moira|3|[12972, 352, 7, 1]
winos|2|[12972, 1621, 1]
touzy|3|[12972, 343, 41, 1]
dinna|4|[12972, 894, 180, 8, 1]
amigo|4|[12972, 894, 63, 3, 1]
fluky|6|[12972, 1621, 32, 9, 4, 2, 1]
fundi|4|[12972, 1621, 49, 2, 1]
koses|5|[12972, 1667, 118, 55, 23, 1]
covey|4|[12972, 1667, 8, 3, 1]
